timestamp,instance,ops_per_sec,connected_clients,used_memory_mb,cmd_get,cmd_set,cmd_xadd,cmd_xreadgroup,cmd_xack,cmd_watch,cmd_multi,cmd_exec,cmd_eval,total_commands
1775422216,redis-order,40778,856,18.3,1165768,356736,0,0,0,356758,356752,356752,0,2595727
1775422216,redis-payment,2416,42,18.1,177471,0,0,0,0,0,0,0,0,177735
1775422216,redis-stock,2379,66,18.2,183412,0,0,0,0,0,0,0,0,183748
1775422218,redis-bus,57403,777,18.8,0,0,2235265,938055,1111012,0,0,0,0,4304394
1775422218,redis-orchestrator,41508,151,24.5,372925,561589,0,0,0,372608,561863,561863,320,2989447
1775422218,redis-order,43067,888,18.8,1220411,368236,0,0,0,368252,368252,368252,0,2696470
1775422218,redis-payment,2473,42,18.1,183150,0,0,0,0,0,0,0,0,183416
1775422218,redis-stock,2605,66,18.2,189475,0,0,0,0,0,0,0,0,189813
1775422220,redis-bus,56131,778,19.5,0,0,2302389,961870,1144962,0,0,0,0,4429599
1775422220,redis-orchestrator,40464,151,24.4,384538,578896,0,0,0,384216,579165,579165,326,3081576
1775422220,redis-order,45066,902,18.6,1275779,379759,0,0,0,379775,379775,379775,0,2797982
1775422220,redis-payment,2528,42,18.1,189104,0,0,0,0,0,0,0,0,189372
1775422220,redis-stock,2660,66,18.2,195610,0,0,0,0,0,0,0,0,195950
1775422223,redis-bus,56241,778,18.6,0,0,2377298,988090,1182137,0,0,0,0,4568214
1775422223,redis-orchestrator,40194,151,24.5,396713,597283,0,0,0,396385,597550,597550,329,3179141
1775422223,redis-order,43090,906,18.4,1330609,391315,0,0,0,391332,391332,391332,0,2899057
1775422223,redis-payment,2514,42,18.1,194962,0,0,0,0,0,0,0,0,195234
1775422223,redis-stock,2549,66,18.2,201480,0,0,0,0,0,0,0,0,201825
1775422225,redis-bus,56280,778,19.6,0,0,2447569,1012252,1216386,0,0,0,0,4697201
1775422225,redis-orchestrator,40971,151,24.5,408660,615490,0,0,0,408327,615753,615753,334,3275519
1775422225,redis-order,43886,910,18.5,1389324,402846,0,0,0,402863,402863,402863,0,3003914
1775422225,redis-payment,2427,43,18.1,200632,0,0,0,0,0,0,0,0,200911
1775422225,redis-stock,2491,66,18.2,207647,0,0,0,0,0,0,0,0,207995
1775422227,redis-bus,55151,778,19.4,0,0,2517630,1037801,1251627,0,0,0,0,4828379
1775422227,redis-orchestrator,39852,151,24.5,420296,632920,0,0,0,419955,633177,633177,342,3368159
1775422227,redis-order,45184,923,18.5,1449090,414562,0,0,0,414579,414579,414579,0,3110592
1775422227,redis-payment,2458,43,18.1,206620,0,0,0,0,0,0,0,0,206901
1775422227,redis-stock,2493,66,18.2,213862,0,0,0,0,0,0,0,0,214212
1775422230,redis-bus,54959,779,20.0,0,0,2588613,1063313,1287253,0,0,0,0,4960822
1775422230,redis-orchestrator,38825,151,24.5,432245,650742,0,0,0,431895,650994,650994,351,3462952
1775422230,redis-order,44636,932,18.6,1507243,425961,0,0,0,425982,425978,425978,0,3214382
1775422230,redis-payment,2464,43,18.1,212571,0,0,0,0,0,0,0,0,212854
1775422230,redis-stock,2503,66,18.2,219677,0,0,0,0,0,0,0,0,220029
1775422232,redis-bus,56138,779,19.3,0,0,2659252,1088460,1322191,0,0,0,0,5091846
1775422232,redis-orchestrator,40390,151,24.5,443971,668531,0,0,0,443620,668781,668781,353,3557191
1775422232,redis-order,44373,946,18.6,1563845,436937,0,0,0,436958,436954,436954,0,3314938
1775422232,redis-payment,2478,43,18.1,218165,0,0,0,0,0,0,0,0,218451
1775422232,redis-stock,2501,66,18.2,225243,0,0,0,0,0,0,0,0,225599
1775422234,redis-bus,53119,779,18.3,0,0,2722519,1111931,1354187,0,0,0,0,5210889
1775422234,redis-orchestrator,38717,151,24.5,455021,685030,0,0,0,454664,685275,685275,358,3644896
1775422234,redis-order,43723,956,18.7,1620838,447856,0,0,0,447876,447874,447874,0,3415642
1775422234,redis-payment,2428,43,18.1,223947,0,0,0,0,0,0,0,0,224238
1775422234,redis-stock,2430,67,18.3,231201,0,0,0,0,0,0,0,0,231564
1775422237,redis-bus,54174,780,18.8,0,0,2793060,1137580,1389451,0,0,0,0,5342653
1775422237,redis-orchestrator,38384,151,24.5,466815,702646,0,0,0,466450,702883,702883,366,3738572
1775422237,redis-order,42671,959,18.6,1678701,459160,0,0,0,459178,459178,459178,0,3518735
1775422237,redis-payment,2441,43,18.1,229813,0,0,0,0,0,0,0,0,230106
1775422237,redis-stock,2501,67,18.2,237076,0,0,0,0,0,0,0,0,237441
1775422239,redis-bus,56352,780,18.4,0,0,2864830,1163650,1425072,0,0,0,0,5476429
1775422239,redis-orchestrator,40365,151,24.5,478699,720549,0,0,0,478328,720778,720778,374,3833547
1775422239,redis-order,43305,964,18.6,1737386,470455,0,0,0,470476,470473,470473,0,3622630
1775422239,redis-payment,2483,43,18.1,235589,0,0,0,0,0,0,0,0,235884
1775422239,redis-stock,2399,67,18.2,242550,0,0,0,0,0,0,0,0,242917
1775422242,redis-bus,53536,780,18.4,0,0,2929885,1187658,1457653,0,0,0,0,5598393
1775422242,redis-orchestrator,39019,151,24.5,489727,737144,0,0,0,489350,737371,737371,378,3921595
1775422242,redis-order,44486,975,18.7,1794461,481373,0,0,0,481392,481392,481392,0,3723418
1775422242,redis-payment,2427,43,18.1,241208,0,0,0,0,0,0,0,0,241506
1775422242,redis-stock,2520,67,18.2,248496,0,0,0,0,0,0,0,0,248866
1775422244,redis-bus,53927,783,18.9,0,0,2998112,1212330,1491730,0,0,0,0,5725687
1775422244,redis-orchestrator,38611,151,24.5,501228,754362,0,0,0,500847,754586,754586,382,4013083
1775422244,redis-order,42251,985,18.7,1851785,492448,0,0,0,492467,492467,492467,0,3825077
1775422244,redis-payment,2362,43,18.1,246884,0,0,0,0,0,0,0,0,247186
1775422244,redis-stock,2486,67,18.2,254107,0,0,0,0,0,0,0,0,254482
1775422246,redis-bus,55055,783,19.7,0,0,3063888,1237068,1524537,0,0,0,0,5849317
1775422246,redis-orchestrator,39132,151,24.5,512480,771269,0,0,0,512093,771489,771489,388,4102853
1775422246,redis-order,42658,990,18.7,1909596,503264,0,0,0,503283,503283,503283,0,3926173
1775422246,redis-payment,2390,43,18.1,252480,0,0,0,0,0,0,0,0,252785
1775422246,redis-stock,2392,67,18.2,259561,0,0,0,0,0,0,0,0,259938
1775422249,redis-bus,53646,783,18.5,0,0,3130674,1262066,1558023,0,0,0,0,5974901
1775422249,redis-orchestrator,38936,151,24.5,523597,787904,0,0,0,523205,788116,788116,396,4191265
1775422249,redis-order,44617,998,18.7,1965884,514123,0,0,0,514149,514142,514142,0,4025938
1775422249,redis-payment,2425,43,18.1,258067,0,0,0,0,0,0,0,0,258374
1775422249,redis-stock,2548,67,18.2,265348,0,0,0,0,0,0,0,0,265727
1775422251,redis-bus,54597,783,18.3,0,0,3197114,1286616,1591109,0,0,0,0,6099264
1775422251,redis-orchestrator,38408,151,24.5,534909,804831,0,0,0,534508,805037,805037,402,4281200
1775422251,redis-order,42920,1000,18.7,2021124,524741,0,0,0,524761,524761,524761,0,4123662
1775422251,redis-payment,2445,43,18.1,263720,0,0,0,0,0,0,0,0,264029
1775422251,redis-stock,2317,67,18.2,270813,0,0,0,0,0,0,0,0,271194
1775422253,redis-bus,54135,785,18.4,0,0,3264782,1311727,1625046,0,0,0,0,6226298
1775422253,redis-orchestrator,39035,151,24.5,546413,822202,0,0,0,546011,822406,822406,405,4373334
1775422253,redis-order,44997,1156,21.4,2081627,536237,0,0,0,536258,536257,536257,0,4230624
1775422253,redis-payment,2443,43,18.1,269479,0,0,0,0,0,0,0,0,269792
1775422253,redis-stock,2529,67,18.2,276653,0,0,0,0,0,0,0,0,277039
1775422256,redis-bus,53709,786,18.5,0,0,3332608,1336337,1659361,0,0,0,0,6353362
1775422256,redis-orchestrator,38348,151,24.5,557665,838841,0,0,0,557255,839039,839039,411,4462019
1775422256,redis-order,43365,1156,19.1,2135492,546852,0,0,0,546874,546872,546872,0,4326956
1775422256,redis-payment,2505,43,18.1,275176,0,0,0,0,0,0,0,0,275493
1775422256,redis-stock,2378,67,18.2,282198,0,0,0,0,0,0,0,0,282587
