timestamp,container,cpu,mem_usage,net_io
1775423489,dds26-team9-orchestrator-worker-19,0.77%,34.85MiB / 512MiB,1.62MB / 2.8MB
1775423489,dds26-team9-stock-web-4,0.30%,212.4MiB / 512MiB,19.1kB / 6.07kB
1775423489,dds26-team9-orchestrator-worker-24,0.99%,34.85MiB / 512MiB,1.61MB / 2.79MB
1775423489,dds26-team9-stock-web-2,0.30%,212.6MiB / 512MiB,17.1kB / 5.53kB
1775423489,dds26-team9-orchestrator-worker-2,0.66%,34.94MiB / 512MiB,1.61MB / 2.79MB
1775423489,dds26-team9-orchestrator-worker-6,0.86%,35.04MiB / 512MiB,1.61MB / 2.78MB
1775423489,dds26-team9-stock-worker-3,0.51%,34.92MiB / 512MiB,1.57MB / 2.46MB
1775423489,dds26-team9-orchestrator-worker-23,1.02%,35.09MiB / 512MiB,1.61MB / 2.78MB
1775423489,dds26-team9-orchestrator-worker-16,1.03%,35.07MiB / 512MiB,1.6MB / 2.78MB
1775423489,dds26-team9-orchestrator-worker-3,0.70%,32.82MiB / 512MiB,1.6MB / 2.77MB
1775423489,dds26-team9-orchestrator-worker-7,0.68%,32.86MiB / 512MiB,1.6MB / 2.77MB
1775423489,dds26-team9-orchestrator-worker-20,0.72%,32.86MiB / 512MiB,1.6MB / 2.76MB
1775423489,dds26-team9-orchestrator-worker-4,1.01%,33.07MiB / 512MiB,1.59MB / 2.76MB
1775423489,dds26-team9-stock-worker-1,0.56%,32.68MiB / 512MiB,1.57MB / 2.45MB
1775423489,dds26-team9-stock-worker-6,0.53%,32.96MiB / 512MiB,1.56MB / 2.44MB
1775423489,dds26-team9-orchestrator-worker-25,1.01%,34.83MiB / 512MiB,1.59MB / 2.76MB
1775423489,dds26-team9-stock-worker-4,0.55%,34.96MiB / 512MiB,1.55MB / 2.43MB
1775423489,dds26-team9-stock-worker-7,0.54%,33.03MiB / 512MiB,1.54MB / 2.42MB
1775423489,dds26-team9-stock-worker-2,0.55%,35.01MiB / 512MiB,1.54MB / 2.41MB
